Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
Blackhaw Viburnum,Viburnum prunifolium,,Shrub – Large,Native,No,,Structural,Full Sun–Part Sun,Dry–Mesic,"Borderline small tree, I defaulted to shrub",https://inaturalist-open-data.s3.amazonaws.com/photos/35211762/medium.jpg,,Woody,N,Medium,4 - Strong,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,12,,medium,medium,low,no,no,no,tolerant,marginal,marginal,September,October,Blue-black drupes; clean pulp; cold stratify,100,Divide suckers in early spring or fall,yes,Edible fruit; blackhaw,no,,white,,,,white,#FFFFFF,Viburnum prunifolium
Highbush cranberry,Viburnum trilobum,,Shrub,Native,N,Red berries,Shrub,Full Sun to Part Shade,Mesic to Moist,Bird-supporting shrub,https://inaturalist-open-data.s3.amazonaws.com/photos/10624525/medium.jpeg,,Understory fill,N,Small to Medium,4 - Strong,3 - OK,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Shrub,10,,medium,medium,low,no,no,no,unknown,marginal,avoid,August,September,Red drupes; clean pulp; cold stratify,100,Divide suckers in early spring or fall,yes,Edible fruit; highbush cranberry,no,,white,Late Spring,4,5,white,#FFFFFF,Viburnum trilobum
Canada violet,Viola canadensis,,Groundcover,Native,No,Flowers,Low,Shade–Part Shade,Mesic,Woodland violet,https://inaturalist-open-data.s3.amazonaws.com/photos/125678/medium.jpg,,Ground layer,N,Small,3 - OK,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,1,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Shade tolerant,30,Spreads moderately,with caveats,Edible leaves and flowers; mild flavor,no,,white,Spring,3,5,white,#FFFFFF,Viola canadensis
Sweet violet,Viola odorata,,Groundcover,Non-native,No,Flowers,Low,Part Shade,Mesic,Common ornamental violet,https://inaturalist-open-data.s3.amazonaws.com/photos/63834973/medium.jpg,,Ground layer,Y,Small,3 - OK,3 - OK,4 - Strong,3 - OK,4 - Strong,3 - OK,2 - Marginal,No,No,No,No,Herbaceous,0.5,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Spreads aggressively,30,Common garden plant,with caveats,Edible flowers and leaves; used in cooking and garnish,no,,purple,Spring,3,5,purple,#7B4EA0,Viola odorata
Bird's Foot Violet,Viola pedata,,Flowering Perennial,Native,No,Showy spring flowers; distinctive deeply cut foliage; dry site,Low,Full Sun–Part Sun,Dry,The showiest native violet — large bicolored or all-purple flowers on deeply lobed bird's foot-shaped leaves. Dry sandy acidic soils — pine barrens and sandy road banks. Does not spread aggressively. Difficult to transplant; best started from seed sown in place or in containers.,https://static.inaturalist.org/photos/340500/medium.jpg,,Ground,N,Small,3 - OK,5 - Best Fit,2 - Marginal,1 - Don't Use,2 - Marginal,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,0.5,green,low,low,low,no,no,no,unknown,tolerant,avoid,May,June,Cleistogamous seed capsules eject seeds explosively; collect just before pods open; sow fresh or cold stratify,25,Seed sown fresh in summer; difficult to divide — long taproot; best started from seed in containers then transplanted carefully,with caveats,Flowers edible,no,,purple | lavender,Spring,3,5,purple | lavender,#7B4EA0,Viola pedata
Sweet White Violet,Viola pubescens,,Flowering Perennial,Native,No,Ephemeral,Low,Shade,Mesic,Shade-tolerant violet providing early nectar,https://inaturalist-open-data.s3.amazonaws.com/photos/142788573/medium.jpg,,Ground layer,N,Small,Spreading woodland violet,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,0.5,,high,high,low,no,no,no,unknown,tolerant,marginal,May,June,Small capsules; collect before ants take seeds,30,Divide in early spring or fall; spreads by stolons,with caveats,Edible leaves; mild flavor,no,,yellow,Spring,3,5,yellow,#F9C820,Viola pubescens
Blue violet,Viola sororia,,Groundcover,Native,No,Flowers + groundcover,Low,Part Shade–Shade,Mesic,Common violet,https://inaturalist-open-data.s3.amazonaws.com/photos/19508334/medium.jpeg,,Ground layer,Y,Small,4 - Strong,3 - OK,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,0.5,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Self spreads,30,Spreads by seed and rhizomes,with caveats,Edible leaves and flowers; good source of vitamin C,no,,purple,Spring,3,5,purple,#7B4EA0,Viola sororia
Striped Violet / Cream Violet,Viola striata,,Flowering Perennial,Native,No,Cream-white flowers; shade groundcover; Fritillary host,Low,Part Sun–Shade,Mesic,Cream-white flowers with distinctive purple veining. Woodland violet adapted to rich moist forest floors. More vigorous than many violets — spreads by stolons and self-seeds gently. Good shade groundcover. Important host plant for Great Spangled and other Fritillary butterflies.,https://static.inaturalist.org/photos/282933165/medium.jpg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,0.75,green,low,low,low,no,no,no,tolerant,marginal,marginal,May,June,Capsules eject seeds; collect just before pods open; sow fresh,25,Divide in early spring or fall; also self-seeds; easy to propagate and establish,with caveats,Flowers edible,no,,white | cream,Spring,3,5,white | cream,#FFFFFF,Viola striata
Walter’s violet,Viola walteri,,Groundcover,Native,No,Flowers,Low,Shade–Part Shade,Mesic,Semi-evergreen violet,https://static.inaturalist.org/photos/19946212/medium.jpg,,Ground layer,Y,Small,3 - OK,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,0.5,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Spreads moderately,30,Good woodland filler,with caveats,Edible leaves,no,,purple,Spring,3,5,purple,#7B4EA0,Viola walteri
Summer Grape,Vitis aestivalis,,Woody Vine,Native,No,Summer Fruit,Climbing,Full Sun–Part Sun,Dry–Mesic,Upland grape,https://inaturalist-open-data.s3.amazonaws.com/photos/46768846/medium.jpeg,,Woody,N,Medium,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Vine,40,purple,medium,medium,medium,no,no,no,tolerant,tolerant,tolerant,August,September,Edible fruit,100,Seed or cuttings,yes,Edible fruit; summer grape,no,,green,Late Spring,4,5,green,#5A9E5A,Vitis aestivalis
Fox Grape,Vitis labrusca,,Woody Vine,Native,No,Summer / Fall Fruit,Climbing,Full Sun–Part Sun,Mesic–Moist,Native grape; high wildlife value,https://inaturalist-open-data.s3.amazonaws.com/photos/10367171/medium.jpeg,,Woody,N,Medium,4 - Strong,3 - OK,4 - Strong,4 - Strong,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Vine,30,purple,medium,medium,medium,no,no,no,tolerant,tolerant,tolerant,September,October,Edible fruit,100,Layering or cuttings,yes,Edible fruit; fox grape,no,,green,Late Spring,4,5,green,#5A9E5A,Vitis labrusca
Concord Grape,"Vitis labrusca ""Concord""",,Woody Vine,Native Cultivar,No,Summer / Fall Fruit,Climbing,Full Sun–Part Sun,Mesic–Moist,Cultivar of native grape,https://inaturalist-open-data.s3.amazonaws.com/photos/10367171/medium.jpeg,,Woody,N,Medium,4 - Strong,3 - OK,4 - Strong,4 - Strong,3 - OK,2 - Marginal,3 - OK,No,No,No,No,Vine,30,purple,medium,medium,medium,no,no,no,tolerant,tolerant,tolerant,September,October,Edible fruit (cultivar),100,Cuttings,yes,Edible fruit; Concord grape,no,,green,Late Spring,4,5,green,#5A9E5A,"Vitis labrusca ""Concord"""
Riverbank Grape,Vitis riparia,,Woody Vine,Native,No,Summer Fruit,Climbing,Full Sun–Part Sun,Moist,Riparian grape,https://inaturalist-open-data.s3.amazonaws.com/photos/59477130/medium.jpeg,,Woody,Y,Medium,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Vine,40,purple,medium,medium,medium,no,no,no,tolerant,tolerant,tolerant,August,September,Edible fruit (tart),100,Layering,yes,Edible fruit; riverbank grape,no,,green,Late Spring,4,5,green,#5A9E5A,Vitis riparia
Barren strawberry (Siberian),Waldsteinia ternata,,Groundcover,Safe Non-Native,No,Foliage + flowers,Low,Shade–Part Shade,Mesic,"Mat-forming groundcover; can be confused with native ""appalachian"" barren strawberry. Not native but safe for gardne use. ",https://static.inaturalist.org/photos/28145272/medium.jpg,,Ground layer,Y,Small,4 - Strong,3 - OK,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,0.5,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,May,June,Spreads by runners,10,Good lawn replacement,no,,no,,yellow,Spring,3,5,yellow,#F9C820,Waldsteinia ternata
Blunt-lobed Woodsia,Woodsia obtusa,,Fern,Native,No,Rock garden fern,Low,Part Shade,Dry–Mesic,Small fern adapted to rocky or dry woodland sites,https://inaturalist-open-data.s3.amazonaws.com/photos/334565628/medium.jpg,,Ground layer,N,Small,Rock and dry woodland fern,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,1,,low,low,low,no,no,no,unknown,marginal,avoid,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge,no,,no,,,Spring–Fall,3,10,,,Woodsia obtusa
Netted Chain Fern,Woodwardia areolata,,Fern,Native,No,Bold wetland foliage; rhizomatous groundcover,Mid,Part Sun–Shade,Moist–Wet,"Bold native fern of wetland edges, bogs, and moist woodland depressions. Spreads by rhizome to form extensive colonies — excellent large-scale wetland groundcover. Tolerates standing water seasonally. Coarser texture than most wood ferns. Valuable for acid bog and wetland edge restoration.",https://inaturalist-open-data.s3.amazonaws.com/photos/85809395/medium.jpg,,Ground,M,Medium,1 - Don't Use,1 - Don't Use,2 - Marginal,5 - Best Fit,4 - Strong,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Herbaceous,2.5,green,low,low,low,no,no,no,unknown,marginal,avoid,July,August,Fern — produces spores; chain-like sori on underside of fertile fronds; spores ripen midsummer,2,Divide rhizomes in early spring; thrives in wet acid conditions; spreads steadily once established,no,,no,,,Spring–Fall,3,10,,,Woodwardia areolata
Yellowroot,Xanthorhiza simplicissima,,Groundcover,Native,No,Colonizing ground shrub,Low,Shade,Mesic,Low colony-forming shrub useful as woodland ground layer,https://static.inaturalist.org/photos/186124189/medium.jpg,,Ground layer,Y,Small,3 - OK,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,tolerant,tolerant,marginal,May,June,Small follicles; collect promptly,15,Divide in early spring; spreads by rhizome,no,,yes,Root bark used medicinally; contains berberine,purple,Spring,3,5,purple,#7B4EA0,Xanthorhiza simplicissima
Heartleaf Alexanders,Zizia aptera,,Flowering Perennial,Native,No,Early pollinator,Medium,Sun–Part Shade,Mesic,Early blooming umbel supporting many small pollinators,https://inaturalist-open-data.s3.amazonaws.com/photos/75570328/medium.jpeg,,Understory fill,N,Medium,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,marginal,avoid,July,August,Dry flat pods; collect when brown,20,Divide in early spring; easy,with caveats,Edible leaves,no,,yellow,Spring,3,5,yellow,#F9C820,Zizia aptera
Anise Hyssop,Agastache foeniculum,,Flowering Perennial,Near-Native,No,Summer bloom; attracts bees and hummingbirds,Medium,Full sun to part shade,Dry to mesic,Fragrant anise-scented foliage; excellent pollinator magnet; self-seeds freely; short-lived perennial,https://inaturalist-open-data.s3.amazonaws.com/photos/46198815/medium.jpg,,Filler,M,3,3 - OK,3 - OK,5 - Best Fit,2 - Marginal,2 - Marginal,1 - Don't Use,3 - OK,,,,,Upright perennial,4,green,low,low,low,no,no,no,tolerant,,,Sep,Oct,Collect when seed heads are dry and brown; seeds drop readily,4,Easy from seed; direct sow in fall or start indoors 6-8 weeks before last frost; divide clumps in spring,yes,Leaves and flowers edible; strong anise/licorice flavor; used in teas and salads,yes,Traditional use for coughs and colds,purple|lavender,Jul-Sep,6,8,purple|lavender,#7B4EA0,Agastache foeniculum
Sweet Crabapple,Malus coronaria,,Tree - Small,Near-Native,No,Spring bloom; fruit for wildlife,Medium,Full sun to part shade,Average to moist,Native crabapple; fragrant pink-white blooms; fruit eaten by birds and mammals; excellent caterpillar host,https://inaturalist-open-data.s3.amazonaws.com/photos/8015727/medium.jpeg,,Structure,N,3,2 - Marginal,2 - Marginal,4 - Strong,3 - OK,4 - Strong,1 - Don't Use,2 - Marginal,,,,,Deciduous tree,25,green,low,low,low,no,no,no,tolerant,,,Sep,Oct,Collect fruit when ripe; remove pulp before storing seeds; cold-stratify 90 days,280,Stratify seeds 90 days cold-moist; can also propagate by softwood cuttings in summer,with caveats,Fruit edible but very tart; best cooked into jelly or cider; seeds contain cyanogenic compounds — do not eat in quantity,no,,white|pink,May,4,4,white|pink,#FFFFFF,Malus coronaria
Virginia Mountain Mint,Pycnanthemum virginianum,,Flowering Perennial,Native,No,Summer bloom; exceptional pollinator activity,Short-Medium,Full sun,Average to moist,One of the best native pollinator plants; minty fragrance deters deer; spreads by rhizome to form colonies,https://inaturalist-open-data.s3.amazonaws.com/photos/9055947/medium.jpeg,,Filler,M,3,2 - Marginal,2 - Marginal,5 - Best Fit,4 - Strong,3 - OK,1 - Don't Use,2 - Marginal,,,,,Upright perennial,3,green,low,low,low,no,no,no,tolerant,,,Aug,Sep,Collect when seed heads dry and turn brown; seeds are tiny,35,Divide clumps in spring or fall; self-seeds modestly; easy from seed with light cold stratification,yes,Leaves used as seasoning and in cooking; strong mint flavor,yes,Traditional medicinal use as fever remedy and for respiratory complaints,white,Jul-Aug,6,7,white,#FFFFFF,Pycnanthemum virginianum
Marsh Marigold,Caltha palustris,,Flowering Perennial,Native,No,Early spring bloom; one of first native flowers,Short,Full sun to part shade,Wet to moist,Early spring ephemeral; bright yellow flowers; excellent for rain gardens and wet areas; goes dormant by midsummer,https://inaturalist-open-data.s3.amazonaws.com/photos/324010734/medium.jpeg,,Filler,M,2,1 - Don't Use,1 - Don't Use,2 - Marginal,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,,,,,Upright perennial,2,green,low,low,low,no,yes,yes,tolerant,,,Jun,Jul,Collect when seed pods split; sow fresh immediately — seed loses viability quickly,13,Best divided in early spring or fall; fresh seed sown immediately in wet medium; slow from seed,with caveats,Leaves edible only when thoroughly cooked — raw plant toxic; historically used as potherb; not recommended,no,,yellow,Apr-May,3,4,yellow,#F9C820,Caltha palustris
Fringed Bleeding Heart,Dicentra eximia,,Flowering Perennial,Native,No,Long bloom season; ferny foliage persists all season,Short-Medium,Part shade to shade,Average to moist,Native bleeding heart; blooms much longer than spectabilis; ferny blue-green foliage; self-seeds to naturalize,https://inaturalist-open-data.s3.amazonaws.com/photos/110884260/medium.jpeg,,Filler,M,2,1 - Don't Use,1 - Don't Use,3 - OK,2 - Marginal,4 - Strong,2 - Marginal,1 - Don't Use,,,,,Mounding perennial,18,blue-green,high,low,low,yes,yes,yes,tolerant,,,Jul,Aug,Collect when pods begin to split; ants disperse seeds,0,Self-seeds freely; divide in early spring; fresh seed germinates best,no,All parts toxic — do not ingest,no,,pink|rose,May-Sep,4,8,pink|rose,#E8829A,Dicentra eximia
Common Bleeding Heart,Lamprocapnos spectabilis,,Flowering Perennial,Safe Non-Native,No,Spring bloom; goes dormant by midsummer,Medium,Part shade to shade,Average to moist,Classic garden bleeding heart; spectacular spring display but goes fully dormant by July — plan for gap; not native,https://inaturalist-open-data.s3.amazonaws.com/photos/487625794/medium.jpg,,Filler,N,2,1 - Don't Use,1 - Don't Use,3 - OK,2 - Marginal,4 - Strong,2 - Marginal,1 - Don't Use,,,,,Mounding perennial,36,green,high,low,low,yes,yes,yes,tolerant,,,Jun,Jul,,0,Divide in early spring; dies back completely by midsummer,no,All parts toxic — do not ingest,no,,pink|white|rose,Apr-May,3,4,pink|white|rose,#E8829A,Lamprocapnos spectabilis
White Doll's Daisy,Boltonia asteroides,,Flowering Perennial,Native,No,Late summer to fall bloom; cloud of white flowers,Tall,Full sun to part shade,Average to moist,Tall native aster relative; very floriferous; spreads by rhizome; stake in shadier spots,https://inaturalist-open-data.s3.amazonaws.com/photos/4902293/medium.jpeg,,Filler,M,3,2 - Marginal,2 - Marginal,4 - Strong,3 - OK,3 - OK,1 - Don't Use,2 - Marginal,,,,,Upright perennial,4,green,low,low,low,no,no,no,tolerant,,,Sep,Oct,Collect when seed heads are dry and fluffy,8,Divide in spring; self-seeds; easy from seed,no,,no,,white,Aug-Oct,7,9,white,#FFFFFF,Boltonia asteroides
Celandine Poppy,Stylophorum diphyllum,,Flowering Perennial,Near-Native,No,Early spring yellow bloom; attractive lobed foliage,Medium,Part shade to shade,Average to moist,Bright yellow poppy flowers in spring; self-seeds to naturalize; orange sap is a mild irritant,https://inaturalist-open-data.s3.amazonaws.com/photos/8075178/medium.jpg,,Filler,M,2,1 - Don't Use,1 - Don't Use,3 - OK,2 - Marginal,4 - Strong,2 - Marginal,1 - Don't Use,,,,,Upright perennial,18,green,high,low,low,no,no,no,tolerant,,,Jun,Jul,Collect when pods begin to split; self-sows readily,0,Self-seeds freely; direct sow in fall; divide in early spring,no,Orange sap is a mild skin irritant,no,,yellow,Apr-May,3,4,yellow,#F9C820,Stylophorum diphyllum
Blue Wood Aster,Symphyotrichum cordifolium,,Flowering Perennial,Native,No,Fall bloom; delicate lavender-blue flowers,Medium-Tall,Part shade to shade,Dry to average,One of the best shade-tolerant asters; naturalizes under trees; excellent late-season pollinator plant,https://inaturalist-open-data.s3.amazonaws.com/photos/234797159/medium.jpeg,,Filler,M,3,1 - Don't Use,2 - Marginal,3 - OK,2 - Marginal,5 - Best Fit,2 - Marginal,2 - Marginal,,,,,Upright perennial,4,green,low,low,low,no,no,no,tolerant,,,Oct,Nov,Collect when seed heads are fluffy and dry,50,Self-seeds; divide in spring; easy from seed direct sown in fall,no,,no,,lavender|blue,Sep-Oct,8,9,lavender|blue,#9B89C4,Symphyotrichum cordifolium
Avondale Blue Wood Aster,Symphyotrichum cordifolium 'Avondale',,Flowering Perennial,Native Cultivar,No,Fall bloom; deeper blue than straight species,Medium,Part shade to shade,Dry to average,More compact than straight species; deeper blue flowers; excellent for shade gardens,,https://northeastwildseedcollectors.com/wp-content/uploads/2017/11/symphyotrichum-cordifolium.jpg?w=600,Filler,N,3,1 - Don't Use,2 - Marginal,3 - OK,2 - Marginal,5 - Best Fit,2 - Marginal,2 - Marginal,,,,,Upright perennial,3,green,low,low,low,no,no,no,tolerant,,,Oct,Nov,,50,Divide in spring; cultivar does not come true from seed,no,,no,,blue|lavender,Sep-Oct,8,9,blue|lavender,#4A7FC1,Symphyotrichum cordifolium 'Avondale'
